name,slug,site_type,lat,lng,country,has_image,wikipedia_url
"Stone circle north east of Thackthwaite Beck","stone-circle-north-east-of-thackthwaite-beck","stone circle",54.3161,-2.01841,"United Kingdom",no,""
"Stone circle west of Great Knott, Lacra","stone-circle-west-of-great-knott-lacra","stone circle",54.2206,-3.30537,"United Kingdom",no,""
"Stone Circle and Associated Structures on Bryn y Gorlan","stone-circle-and-associated-structures-on-bryn-y-gorlan","stone circle",52.176301,-3.8304257,"United Kingdom",no,""
"Forvie Stone Circle","forvie-stone-circle","stone circle",57.309188,-1.985875,"United Kingdom",no,""
"Fridlevstad 16:3","fridlevstad-16-3","stone circle",56.292541,15.52508,"Sweden",no,""
"Edestad 54:1","edestad-54-1","stone circle",56.218187,15.364427,"Sweden",no,""
"Cairnfield and embanked stone circle 550m east of Barbrook Reservoir","cairnfield-and-embanked-stone-circle-550m-east-of-barbrook-reservoir","stone circle",53.2916,-1.575,"United Kingdom",yes,""
"Stone Circle 200m SW of Cerrig Cynant","stone-circle-200m-sw-of-cerrig-cynant","stone circle",52.082603,-3.7509294,"United Kingdom",no,""
"Stone circle 330m north west of Crookhill Farm","stone-circle-330m-north-west-of-crookhill-farm","stone circle",53.3805,-1.72379,"United Kingdom",no,""
"Aucheleffan, stone setting 550m NW of","aucheleffan-stone-setting-550m-nw-of","stone circle",55.477356,-5.2004895,"United Kingdom",yes,""
"Edestad 71:1","edestad-71-1","stone circle",56.200377,15.32595,"Sweden",no,""
"Glassel stone circle","glassel-stone-circle","stone circle",57.08669,-2.581045,"United Kingdom",yes,""
"A stone circle, standing stone, cairn, recumbent stone and stone alignment on Longash Common","a-stone-circle-standing-stone-cairn-recumbent-stone-and-stone-alignment-on-longash-common","stone circle",50.5533,-4.04314,"United Kingdom",no,""
"Balgarthno stone circle","balgarthno-stone-circle","stone circle",56.472184,-3.0513251,"United Kingdom",yes,""
"Fridlevstad 17:1","fridlevstad-17-1","stone circle",56.295489,15.519229,"Sweden",no,""
"Tyfos Stone Circle","tyfos-stone-circle","stone circle",52.937386,-3.4470152,"United Kingdom",no,""
"Torhamn 38:1","torhamn-38-1","stone circle",56.184361,15.956208,"Sweden",no,""
"Cultoon,stone circle 500m SW of","cultoon-stone-circle-500m-sw-of","stone circle",55.724634,-6.468042,"United Kingdom",yes,""
"Broomrigg A: large irregular stone circle and associated stone alignment in Broomrigg Plantation, 820m south east of Street Hous","broomrigg-a-large-irregular-stone-circle-and-associated-stone-alignment-in-broomrigg-plantation-820m","stone circle",54.8133,-2.70489,"United Kingdom",no,""
"Stoke Flat West prehistoric field system and stone circle","stoke-flat-west-prehistoric-field-system-and-stone-circle","stone circle",53.2854,-1.62664,"United Kingdom",yes,""
"Stone circle and cairnfield on Harland Moor, 375m south west of Park Farm","stone-circle-and-cairnfield-on-harland-moor-375m-south-west-of-park-farm","stone circle",54.3243,-0.963255,"United Kingdom",no,""
"Edestad 56:1","edestad-56-1","stone circle",56.197911,15.373688,"Sweden",no,""
"Mare and Foal stone circle, 400m north east of Milestone House","mare-and-foal-stone-circle-400m-north-east-of-milestone-house","stone circle",54.9908,-2.43076,"United Kingdom",yes,""
"Fridlevstad 16:1","fridlevstad-16-1","stone circle",56.292583,15.524804,"Sweden",no,""
"Cefn Llechen Stone Circle","cefn-llechen-stone-circle","stone circle",53.260023,-3.8792177,"United Kingdom",yes,""
"cromlech de l’Œillet","cromlech-de-l-illet","stone circle",48.878816666,-1.821238888,"France",yes,""
"Edestad 25:3","edestad-25-3","stone circle",56.208747,15.332351,"Sweden",no,""
"Fridlevstad 4:1","fridlevstad-4-1","stone circle",56.263708,15.524322,"Sweden",no,""
"Embanked stone circle on Eyam Moor, 340m south of Leam Hall Farm","embanked-stone-circle-on-eyam-moor-340m-south-of-leam-hall-farm","stone circle",53.3069,-1.65383,"United Kingdom",no,""
"Kamaishi Stone Circle","kamaishi-stone-circle","stone circle",39.921917,140.978833,"Japan",yes,""
"Augerum 32:1","augerum-32-1","stone circle",56.200114,15.65033,"Sweden",no,""
