name,slug,site_type,lat,lng,country,has_image,wikipedia_url
"Llecheiddior Stone Circle","llecheiddior-stone-circle","stone circle",52.775431,-4.059813,"United Kingdom",no,""
"Reenkilla stone circle","reenkilla-stone-circle","stone circle",51.760693,-9.785005,"Ireland",no,""
"Stone circle west of Great Knott, Lacra","stone-circle-west-of-great-knott-lacra","stone circle",54.2206,-3.30537,"United Kingdom",no,""
"Embanked small stone circle at Harker Mires on Harkerside Moor","embanked-small-stone-circle-at-harker-mires-on-harkerside-moor","stone circle",54.3741,-1.94728,"United Kingdom",no,""
"Oddendale concentric stone circle","oddendale-concentric-stone-circle","stone circle",54.5099,-2.63179,"United Kingdom",yes,""
"Cylch Cerrig Penbedw","cylch-cerrig-penbedw","stone circle",53.201992,-3.2424812,"United Kingdom",no,""
"Small stone circle on Smelting Hill, 560m north east of Lane End Farm","small-stone-circle-on-smelting-hill-560m-north-east-of-lane-end-farm","stone circle",53.3201,-1.6971,"United Kingdom",no,""
"Tyfos Stone Circle","tyfos-stone-circle","stone circle",52.937386,-3.4470152,"United Kingdom",no,""
"Cefn Llydan Stone Circle","cefn-llydan-stone-circle","stone circle",52.564432,-3.3923048,"United Kingdom",no,""
"Large regular stone circle 240m ENE of Elva Plain","large-regular-stone-circle-240m-ene-of-elva-plain","stone circle",54.6738,-3.27773,"United Kingdom",no,""
"Broomrigg A: large irregular stone circle and associated stone alignment in Broomrigg Plantation, 820m south east of Street Hous","broomrigg-a-large-irregular-stone-circle-and-associated-stone-alignment-in-broomrigg-plantation-820m","stone circle",54.8133,-2.70489,"United Kingdom",no,""
"Small stone circle on White Hag","small-stone-circle-on-white-hag","stone circle",54.4982,-2.60796,"United Kingdom",yes,""
"Craighead of Badentoy","craighead-of-badentoy","stone circle",57.070416,-2.1471584,"United Kingdom",yes,""
"Hethpool stone circles","hethpool-stone-circles","stone circle",55.5441,-2.17165,"United Kingdom",no,""
"Ferntower stone circle","ferntower-stone-circle","stone circle",56.382483,-3.824951,"United Kingdom",yes,""
"Kalmar 10:3","kalmar-10-3","stone circle",56.680604,16.318543,"Sweden",yes,""
"Borgholm 1:1","borgholm-1-1","stone circle",56.874674,16.673961,"Sweden",yes,""
"Kalmar 10:4","kalmar-10-4","stone circle",56.680565,16.318738,"Sweden",yes,""
"Gräberfeld_Alnaberget","graberfeld-alnaberget","stone circle",55.561645,14.132543,"Sweden",yes,""
"Larv 115:4","larv-115-4","stone circle",58.174437,13.22746,"Sweden",no,""
"Steinkreis von Lellingens","steinkreis-von-lellingens","stone circle",58.145625,13.344076,"Sweden",yes,""
"Cavaglià stone circle","cavaglia-stone-circle","menhir",45.4091,8.0953,"Italy",yes,""
"Steinkreis von Bentstreek","steinkreis-von-bentstreek","stone circle",53.405712,7.819932,"Germany",no,""
"Loudon Wood stone circle","loudon-wood-stone-circle","stone circle",57.53776,-2.0667125,"United Kingdom",yes,""
"Cloghboola Beg","cloghboola-beg","stone circle",52.015556,-9.0125,"Ireland",no,""
"Domarring von Slaka","domarring-von-slaka","stone circle",58.368086,15.560023,"Sweden",yes,""
"Leys of Marlee stone circle","leys-of-marlee-stone-circle","stone circle",56.579321,-3.3691209,"United Kingdom",yes,""
"Brisworthy Circle","brisworthy-circle","stone circle",50.471613,-4.024105,"United Kingdom",no,""
"Castle Fraser,stone circle 775m W of & standing stones 550m W of","castle-fraser-stone-circle-775m-w-of-standing-stones-550m-w-of","stone circle",57.202711,-2.4733465,"United Kingdom",yes,""
"Dyffryn Syfynwy","dyffryn-syfynwy","stone circle",51.92088,-4.8239,"United Kingdom",no,""
"Ödestugu 2:2","odestugu-2-2","stone circle",57.634853,14.317735,"Sweden",no,""
"Knockawaddra","knockawaddra","stone circle",51.657731,-9.066896,"Ireland",no,""
"Machium's Stone Circle","machium-s-stone-circle","stone circle",56.534877,-4.144681,"United Kingdom",no,""
"Domhög","domhog","stone circle",56.279476,12.54191,"Sweden",no,""
"Park Gate stone circle","park-gate-stone-circle","stone circle",53.212943,-1.581461,"United Kingdom",no,""
"Dromagorteen Stone Circle","dromagorteen-stone-circle","stone circle",51.830278,-9.510833,"Ireland",no,""
"Old Harestanes,stone circle 180m NE of","old-harestanes-stone-circle-180m-ne-of","megalithic monument",55.68446,-3.3946702,"United Kingdom",yes,""
"Dunbeacon stone circle","dunbeacon-stone-circle","stone circle",51.595722,-9.549079,"Ireland",no,""
"Acharn Falls stone circle","acharn-falls-stone-circle","stone circle",56.558161,-4.0063938,"United Kingdom",no,""
"Steinkreis von Gortanacra","steinkreis-von-gortanacra","stone circle",51.927558,-9.157142,"Ireland",no,""
"Meikle Findowie, stone circle 460m S of, Strath Braan","meikle-findowie-stone-circle-460m-s-of-strath-braan","stone circle",56.528607,-3.6937732,"United Kingdom",no,""
"Drummore Farm,stone circle","drummore-farm-stone-circle","stone circle",54.79142,-4.0414073,"United Kingdom",no,""
"Whitehill, stone circle, Bogmore Wood","whitehill-stone-circle-bogmore-wood","stone circle",57.21092,-2.5922673,"United Kingdom",yes,""
"Tuach Hill, stone circle and enclosure 130m SW of Gallow Top","tuach-hill-stone-circle-and-enclosure-130m-sw-of-gallow-top","stone circle",57.229391,-2.3400565,"United Kingdom",no,""
"stone circle 635m WSW of Ord","stone-circle-635m-wsw-of-ord","stone circle",57.330352,-2.8609123,"United Kingdom",no,""
